ID_Evento,IDMercado,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
32976276,1.224130562,German Bundesliga 2,2024-02-04,09:30:00,Hannover,Hansa Rostock,1.65,4.3,5.8,1.76,2.06,1.85,2.0,980.0,23.0,980.0,1.01,9.4,980.0,980.0,980.0,10.5,980.0,980.0,1.01,16.0,980.0,980.0,1.01,980.0,1.01
32976274,1.224130778,German Bundesliga 2,2024-02-04,09:30:00,Elversberg,Kaiserslautern,2.2,3.8,3.25,1.66,2.3,1.62,2.3,23.0,20.0,29.0,60.0,16.0,11.5,17.5,38.0,19.0,13.5,18.5,44.0,32.0,25.0,34.0,75.0,14.5,27.0
32976269,1.224131570,German Bundesliga 2,2024-02-04,09:30:00,Paderborn,Fortuna Dusseldorf,2.5,4.0,2.66,1.57,2.44,1.55,2.48,23.0,17.0,22.0,980.0,17.0,11.0,13.5,27.0,21.0,13.5,16.0,980.0,980.0,26.0,32.0,980.0,15.0,16.0
32977995,1.224266707,German Regionalliga Northeast,2024-02-04,09:30:00,Meuselwitz,BFC Dynamo,1.51,1.51,1.17,1.01,1.27,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32976994,1.224146771,Belgian First Division B,2024-02-04,09:30:00,Seraing Utd,Racing Genk B,2.44,3.65,2.56,1.61,2.24,1.53,2.38,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0
32976534,1.224138693,German 3 Liga,2024-02-04,09:30:00,Ingolstadt,Dynamo Dresden,2.96,3.45,2.3,1.81,2.0,1.68,2.2,980.0,12.0,980.0,980.0,14.5,8.8,12.0,980.0,980.0,14.5,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0
32977966,1.224164601,English FA Women's Super League 1,2024-02-04,09:30:00,West Ham United (W),Arsenal (W),1.04,1.01,1.18,1.02,1.72,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,980.0
32976789,1.224141540,Turkish Super League,2024-02-04,10:00:00,Kasimpasa,Alanyaspor,2.32,3.85,3.05,1.63,2.36,1.59,2.38,21.0,17.5,24.0,980.0,15.0,10.5,14.5,980.0,18.0,12.5,16.5,980.0,32.0,24.0,980.0,980.0,14.0,21.0
32979232,1.224266405,German Regionalliga West,2024-02-04,10:00:00,Fortuna Koln,SC Paderborn 07 II,1.01,1.01,1.01,1.01,1.27,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32976421,1.224135619,Turkish 1 Lig,2024-02-04,10:00:00,Genclerbirligi,Corum Belediyespor,2.3,2.96,2.86,1.94,1.69,1.73,1.88,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,1.01,980.0,1.01,1.01,980.0,1.01
32957985,1.223851663,Spanish La Liga,2024-02-04,10:00:00,Villarreal,Cadiz,1.65,4.3,6.0,1.85,2.12,1.92,2.04,16.5,21.0,50.0,160.0,9.0,9.6,24.0,85.0,9.8,9.8,22.0,85.0,15.5,17.5,36.0,120.0,8.6,100.0
32984744,1.224273397,German Regionalliga North,2024-02-04,10:00:00,Kieler SV Holstein II,Weiche Flensburg,1.14,1.01,1.05,1.01,1.27,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32988380,1.224317261,Rwandan National Football League,2024-02-04,10:00:00,Police FC,Etincelles,1.57,2.96,5.3,1.37,1.59,2.0,1.64,980.0,1.01,1.01,1.01,980.0,1.01,1.01,1.01,980.0,980.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32980692,1.224210450,Greek Super League 2,2024-02-04,10:00:00,Athlitiki Enosi Larissa,Kozani FC,1.26,1.05,1.05,1.01,1.27,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
